artist,genre
Addy Nagar,haryanvi pop
M.H.R,malayalam hip hop
Dank Rishu,hindi hip hop
Saad Lamjarred,moroccan pop
Kidjaywest,punjabi hip hop
Irshad Khan,haryanvi pop
Surf Curse,indie
KANKAN,vocaloid
LUCKI,cloud rap
J. Cole,rap
Mae Stephens,Unknown
Sabrina Carpenter,Unknown
Jung Kook,k-pop
Legend Jxxt,Unknown
Aakanksha Sharma,bollywood
Eser Inc.,Unknown
Asees Kaur,hindi pop
Suzzane D'Mello,bollywood
James,Unknown
Peggy Gou,Unknown
Gala,eurodance
Ricchi E Poveri,italo dance
Vegedream,pop urbaine
Roberta Flack,adult standards
NAALAYAK,indian indie
The Midnight,synthwave
ABBA,Unknown
Harshit Saxena,bollywood
Elvis Presley,rockabilly
Sonya Belousova,soundtrack
The Four Lads,adult standards
Cannons,Unknown
Rito Riba,indian indie
JVKE,Unknown
Kid Travis,Unknown
Lil Uzi Vert,melodic rap
Bipolar Sunshine,Unknown
070 Shake,Unknown
Brandz,sexy drill
$uicideboy$,dark trap
Bayou,egyptian hip hop
Boy In Space,Unknown
Omah Lay,afrobeats
Corona,Unknown
Alicia Keys,r&b
